Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UMAR,208,0,0.00,0,0.00,31.75,208,0
NUDV,206,0,0.00,0,0.00,25.33,206,0
GHMS,203,0,0.00,0,0.00,25.51,203,0
EMTL,200,0,0.00,0,0.00,41.70,200,0
JAND,200,0,0.00,0,0.00,24.86,200,0
LCF,200,0,0.00,0,0.00,30.64,200,0
RODE,200,0,0.00,0,0.00,25.95,200,0
LKOR,189,0,0.00,0,0.00,43.66,189,0
GDMA,187,0,0.00,0,0.00,29.85,187,0
PSCW,184,0,0.00,0,0.00,23.33,184,0
NOCT,180,0,0.00,0,0.00,46.38,180,0
GEMD,178,0,0.00,0,0.00,40.20,178,0
NETZ,166,0,0.00,0,0.00,57.24,166,0
DJUN,165,0,0.00,0,0.00,38.42,165,0
AAPX,164,250,26.38,250,26.29,26.41,164,0
DSEP,153,0,0.00,0,0.00,36.80,153,0
SEIM,153,0,0.00,0,0.00,28.72,153,0
AMZP,152,2,29.00,1,15.00,27.93,152,0
DFNV,139,0,0.00,4,27.00,28.79,139,0
SPCZ,135,0,0.00,0,0.00,25.85,135,0
RDFI,131,0,0.00,0,0.00,22.62,131,0
PEX,129,1,30.82,3,24.89,28.18,32,97
HELX,128,0,0.00,1,24.00,29.73,128,0
BCHP,127,0,0.00,0,0.00,29.10,127,0
BUFT,122,1,22.26,0,0.00,21.01,122,0
IBMP,120,0,0.00,0,0.00,25.20,120,0
RYSE,119,0,0.00,0,0.00,23.21,119,0
SEIV,114,0,0.00,0,0.00,28.06,114,0
IBHI,112,0,0.00,0,0.00,23.07,112,0
MRGR,110,0,0.00,0,0.00,40.14,110,0
DFRA,106,0,0.00,0,0.00,27.87,106,0
IVVM,105,0,0.00,0,0.00,26.86,105,0
XDJA,105,0,0.00,0,0.00,24.94,105,0
ATMP,102,0,0.00,0,0.00,21.21,102,0
BAMY,102,0,0.00,0,0.00,26.15,102,0
TGLR,102,0,0.00,0,0.00,25.41,102,0
BAMO,101,0,0.00,0,0.00,27.18,101,0
SPMV,101,0,0.00,0,0.00,40.27,101,0
CMCI,100,0,0.00,3,12.00,23.90,100,0
EALT,100,0,0.00,0,0.00,27.43,100,0
EUDV,100,0,0.00,0,0.00,46.27,100,0
KCAL,100,0,0.00,0,0.00,21.13,100,0
PIT,100,0,0.00,2,35.00,46.30,100,0
TYLD,100,0,0.00,0,0.00,25.12,100,0
XAUG,83,0,0.00,0,0.00,31.54,83,0
NOVZ,77,0,0.00,0,0.00,35.16,77,0
XBJL,77,0,0.00,0,0.00,30.82,77,0
DMAY,75,0,0.00,0,0.00,36.41,75,0
MAGA,75,0,0.00,2,35.58,41.31,75,0
FIBR,74,0,0.00,100,85.00,85.94,74,0
HIYS,72,0,0.00,0,0.00,25.39,72,0
YMAR,71,0,0.00,0,0.00,21.62,71,0
OCTQ,66,0,0.00,0,0.00,24.14,66,0
SFIG,66,0,0.00,0,0.00,47.87,66,0
BUSA,57,0,0.00,0,0.00,27.68,57,0
IVVB,57,8,26.99,0,0.00,26.23,57,0
EMDV,54,0,0.00,0,0.00,42.07,54,0
XNOV,51,0,0.00,0,0.00,31.63,51,0
JULJ,49,0,0.00,0,0.00,25.02,49,0
HAUS,43,50,16.55,0,0.00,16.41,43,0
RESD,42,2,30.10,0,0.00,28.89,42,0
MBND,35,0,0.00,0,0.00,27.34,35,0
UOCT,30,0,0.00,0,0.00,32.62,30,0
TOLL,28,0,0.00,1,28.20,28.80,28,0
JULQ,27,0,0.00,0,0.00,24.98,27,0
GSID,24,0,0.00,0,0.00,52.79,24,0
JCPI,23,0,0.00,0,0.00,46.52,23,0
VFMV,21,1,107.87,0,0.00,105.61,21,0
JULZ,20,0,0.00,0,0.00,36.26,20,0
EAOA,18,1,32.63,0,0.00,31.94,10,8
BWTG,17,0,0.00,0,0.00,28.98,17,0
FPAG,17,0,0.00,0,0.00,25.94,17,0
PWS,16,0,0.00,2,26.00,27.27,16,0
IVRA,14,0,0.00,0,0.00,13.63,14,0
PSFM,14,0,0.00,0,0.00,26.22,14,0
SELV,14,0,0.00,0,0.00,26.27,14,0
AUGZ,13,0,0.00,0,0.00,34.28,13,0
ESG,13,38,119.45,1,100.00,117.37,13,0
ARKC,12,0,0.00,1,24.10,26.86,12,0
ESGG,12,0,0.00,1,138.00,150.58,12,0
PSMD,12,0,0.00,0,0.00,26.13,12,0
JUNZ,9,0,0.00,0,0.00,26.48,9,0
DOCT,8,0,0.00,0,0.00,36.66,8,0
FDVL,8,0,0.00,0,0.00,11.33,8,0
HFGO,8,25,20.00,0,0.00,17.14,8,0
UJUN,8,87,31.00,0,0.00,30.32,8,0
APRJ,7,0,0.00,0,0.00,24.68,7,0
DFND,7,0,0.00,0,0.00,38.48,7,0
SHDG,7,0,0.00,0,0.00,24.81,7,0
AFIF,6,0,0.00,0,0.00,9.05,6,0
EGUS,6,0,0.00,0,0.00,34.41,6,0
BEMB,5,0,0.00,0,0.00,51.23,5,0
BBEM,3,0,0.00,0,0.00,47.52,3,0
BLDG,3,1,25.88,0,0.00,24.66,3,0
DKRB,3,0,0.00,30,14.88,22.20,3,0
DWAT,3,0,0.00,0,0.00,10.24,3,0
ACSI,2,0,0.00,0,0.00,49.40,2,0
BBLB,2,0,0.00,0,0.00,89.94,2,0
BSEP,2,0,0.00,0,0.00,36.83,2,0
FDCE,2,0,0.00,0,0.00,11.04,2,0
RULE,2,3,22.06,0,0.00,20.55,2,0
BSMC,1,0,0.00,0,0.00,27.33,1,0
EVUS,1,0,0.00,0,0.00,25.52,1,0
FLDZ,1,0,0.00,0,0.00,23.50,1,0
GCLN,1,0,0.00,0,0.00,32.11,1,0
HSUN,1,0,0.00,0,0.00,33.80,1,0
LGLZ,1,0,0.00,0,0.00,21.08,1,0
OEUR,1,150,28.50,1,25.00,27.70,1,0
RSEE,1,0,0.00,0,0.00,25.40,1,0
SANE,1,0,0.00,0,0.00,22.44,1,0
SNPG,1,0,0.00,0,0.00,34.88,1,0
XDOC,1,0,0.00,0,0.00,27.61,1,0
APRQ,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
BBIB,0,0,0.00,0,0.00,0.00,0,0
BBIP,0,0,0.00,0,0.00,0.00,0,0
BBSA,0,1,51.78,0,0.00,0.00,0,0
BBSB,0,0,0.00,0,0.00,0.00,0,0
BHYB,0,0,0.00,0,0.00,0.00,0,0
BINV,0,0,0.00,0,0.00,0.00,0,0
BNOV,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DFHY,0,0,0.00,52,19.50,0.00,0,0
DWCR,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
FAIL,0,0,0.00,0,0.00,0.00,0,0
FDGR,0,0,0.00,0,0.00,0.00,0,0
FDTB,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FLTN,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,100,29.50,0.00,0,0
GPOW,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
GSST,0,900,50.75,0,0.00,0.00,0,0
HEAT,0,0,0.00,0,0.00,0.00,0,0
HYKE,0,0,0.00,0,0.00,0.00,0,0
IMSI,0,0,0.00,0,0.00,0.00,0,0
IPDP,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
JANP,0,0,0.00,0,0.00,0.00,0,0
JANQ,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JULD,0,600,26.80,0,0.00,0.00,0,0
JULH,0,640,26.10,100,23.57,0.00,0,0
LBO,0,0,0.00,0,0.00,0.00,0,0
LJAN,0,0,0.00,0,0.00,0.00,0,0
MAMB,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBBB,0,1,24.99,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDLV,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MINN,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,1,26.75,0,0.00,0.00,0,0
OCTD,0,0,0.00,0,0.00,0.00,0,0
OCTH,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBJA,0,0,0.00,0,0.00,0.00,0,0
PBL,0,0,0.00,0,0.00,0.00,0,0
PJBF,0,0,0.00,0,0.00,0.00,0,0
PJFM,0,0,0.00,0,0.00,0.00,0,0
PSCJ,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSDM,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSMO,0,0,0.00,0,0.00,0.00,0,0
PSMR,0,0,0.00,0,0.00,0.00,0,0
PUTD,0,0,0.00,0,0.00,0.00,0,0
RMIF,0,0,0.00,0,0.00,0.00,0,0
ROYA,0,0,0.00,0,0.00,0.00,0,0
RTAI,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SMI,0,1,57.40,0,0.00,0.00,0,0
SNPD,0,0,0.00,0,0.00,0.00,0,0
SNPV,0,0,0.00,0,0.00,0.00,0,0
TSLH,0,0,0.00,0,0.00,0.00,0,0
TUSI,0,0,0.00,200,25.05,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
VIRS,0,0,0.00,0,0.00,0.00,0,0
VMAX,0,0,0.00,0,0.00,0.00,0,0
WDNA,0,1,20.80,0,0.00,0.00,0,0
WFIG,0,0,0.00,0,0.00,0.00,0,0
XBAP,0,0,0.00,0,0.00,0.00,0,0
XDAP,0,0,0.00,0,0.00,0.00,0,0
XDJL,0,0,0.00,0,0.00,0.00,0,0
XJUL,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJA,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
XTOC,0,0,0.00,0,0.00,0.00,0,0
YSEP,0,1,21.12,0,0.00,0.00,0,0
